Name,Level,AC,Low Save,Hi Save,Median Save,Fort,Ref,Will,HP,Atk,DC,Dmg
Zombie Shambler,-1,12,0,6,2,6,0,2,20,7,0,1d6+4
Zombie Hulk,6,21,9,16,12,16,9,12,160,17,0,0
Zombie Brute,2,15,3,10,6,10,3,6,70,11,0,0
Zephyr Hawk,3,21,6,13,7,6,13,7,36,11,0,0
Zaramuun,16,39,25,34,30,34,30,25,291,33,38,0
Young White Dragon,6,23,11,16,14,16,14,11,115,17,24,0
Young Silver Dragon,10,31,17,21,20,20,17,21,200,23,29,0
Young Red Dragon,10,30,18,21,19,21,18,19,210,23,30,0
Young Green Dragon,8,28,16,17,16,16,16,17,135,20,25,0
Young Gold Dragon,11,32,20,22,22,22,20,22,230,24,31,0
Young Copper Dragon,8,27,16,17,16,16,17,16,150,20,27,0
Young Bronze Dragon,9,28,17,19,19,19,17,19,170,21,28,0
Young Brass Dragon,7,25,14,16,15,16,15,14,125,19,26,0
Young Blue Dragon,9,28,18,19,19,19,18,19,170,21,28,0
Young Black Dragon,7,25,12,17,15,17,12,15,125,19,25,0
Yeti,5,21,11,15,13,15,11,13,115,15,23,0
Xulgath Skulker,2,19,5,10,8,8,10,5,28,10,16,0
Xulgath Leader,3,20,6,9,9,9,6,9,44,11,19,0
Xulgath,1,16,4,8,7,8,7,4,21,9,16,0
Xorn,7,25,11,18,13,18,11,13,115,18,0,0
Wyvern,6,24,12,16,13,16,12,13,95,17,22,0
Wraith,6,24,8,14,14,8,14,14,80,17,23,0
Wolf,1,15,5,9,6,6,9,5,24,9,0,0
Winter Wolf,5,23,10,15,13,13,15,10,70,15,21,0
Will-O'-Wisp,6,27,10,16,14,10,16,14,50,17,0,0
Wight,3,18,6,11,10,11,6,10,50,12,17,0
Werewolf,3,19,7,11,9,11,9,7,63,11,19,0
Wererat,2,19,6,10,8,6,10,8,45,10,18,0
Werebear,4,23,10,12,10,12,10,10,75,13,22,0
Wendigo,17,40,26,32,30,32,30,26,315,33,38,0
Wemmuth,15,37,24,27,27,27,27,24,335,29,37,0
Web Lurker,3,19,8,11,10,10,11,8,45,11,19,0
Water Mephit,1,16,4,11,7,7,11,4,20,8,17,0
Wasp Swarm,4,18,8,12,10,10,12,8,45,0,21,0
Warsworn,16,37,25,29,27,29,25,27,350,32,37,0
Warg,2,17,6,11,9,11,9,6,36,11,0,0
War Pony,1,16,5,8,7,8,7,5,20,7,0,0
War Horse,2,17,6,8,7,8,7,6,36,9,0,0
Vrock (Wrath Demon),9,28,15,20,18,20,18,15,185,21,28,0
Voidworm,1,17,5,9,6,5,9,6,16,9,16,0
Viper,-1,15,2,7,5,2,7,5,8,8,16,0
Velociraptor,1,16,,,,5,7,4,20,8,0,0
Veiled Master,14,34,22,26,24,26,22,24,270,30,37,0
Vampire Spawn Rogue,4,22,9,13,11,9,13,11,40,14,0,0
Vampire Mastermind,9,27,15,20,18,15,18,20,115,18,29,0
Vampire Count,6,24,11,17,14,11,14,17,65,17,22,0
Vampire Bat Swarm,1,15,6,9,6,6,9,6,11,0,16,0
Uthul,14,36,22,29,28,28,29,22,250,29,34,0
Unicorn,3,20,8,11,10,10,8,11,45,12,21,0
Ulat-Kini (Skum),2,16,4,7,7,7,7,4,40,10,0,0
Tyrannosaurus,10,29,,,,21,15,19,180,22,29,0
Troll King,10,28,15,23,17,23,17,15,220,23,29,0
Troll,5,20,7,17,11,17,11,7,115,14,0,0
Triceratops,8,26,,,,18,12,14,140,19,26,0
Treerazer,25,54,40,43,42,42,40,43,550,47,49,0
Tor Linnorm,21,47,33,38,35,38,35,33,440,40,46,0
Tiger,4,21,8,13,11,13,11,8,60,13,0,0
Tiefling,3,17,5,8,7,5,7,8,29,7,21,0
Tidal Master,9,28,15,21,18,18,21,15,155,21,0,0
Terotricus,19,42,28,34,33,34,28,33,370,37,40,0
Tengu Sneak,2,19,4,10,7,7,10,4,27,10,17,0
Tarn Linnorm,20,46,31,36,32,36,32,31,400,38,44,0
Succubus (Lust Demon),7,23,14,17,15,15,14,17,100,16,26,0
Storm Lord,9,30,15,20,16,15,20,16,120,20,0,0
Storm Giant,13,34,21,28,23,28,21,23,235,27,33,0
Stone Mauler,9,27,15,23,19,23,15,19,180,21,0,0
Stone Golem,11,30,14,19,18,14,18,19,175,24,30,0
Stone Giant,8,27,14,18,14,18,14,14,150,21,0,0
Stegosaurus,7,23,,,,17,13,13,125,18,25,0
Sprite,-1,15,2,8,4,2,8,4,11,8,16,0
Spider Swarm,0,15,2,7,4,4,7,2,12,0,14,0
Sphinx,8,27,14,19,16,16,14,19,135,20,27,0
Soulbound Doll,2,20,6,10,7,7,10,6,23,10,18,0
Sod Hound,3,19,6,12,7,12,6,7,44,11,0,0
Snapping Flytrap,3,18,7,12,8,12,8,7,50,11,0,0
Smilodon,6,23,10,15,12,15,12,10,110,16,0,0
Slurk,2,17,4,10,6,10,6,4,35,11,18,0
Skulltaker,18,42,31,35,33,31,33,35,300,35,40,0
Skeleton Guard,-1,16,2,8,2,2,8,2,4,6,0,0
Skeletal Hulk,7,25,13,15,15,15,15,13,105,18,0,0
Skeletal Horse,2,16,6,9,8,6,9,8,33,9,0,0
Skeletal Giant,3,17,7,10,8,10,8,7,50,12,0,0
Skeletal Champion,2,19,6,10,7,7,10,6,25,10,0,0
Sinspawn,2,18,6,10,9,10,9,6,30,10,18,0
Simurgh,18,41,29,32,30,30,29,32,350,34,42,0
Shuln,12,33,19,25,21,25,19,21,195,25,32,0
Shoggoth,18,39,30,33,30,33,30,30,275,35,40,0
Shining Child,12,33,19,22,19,22,19,19,215,25,33,0
Shield Archon,10,31,15,23,19,23,15,19,125,22,27,0
Shemhazian (Mutilation Demon),16,39,26,32,27,32,26,27,350,33,37,0
Shambler,6,22,11,17,14,17,11,14,120,17,0,0
Shaitan,7,25,12,18,15,18,12,15,110,20,24,0
Shadow,4,20,8,14,12,8,14,12,40,15,0,0
Sewer Ooze,1,8,1,9,3,9,1,3,40,9,17,0
Sea Serpent,12,35,21,25,21,25,21,21,210,27,34,0
Sea Hag,3,19,8,11,10,11,8,10,45,12,20,0
Sea Devil Scout,2,18,7,10,7,7,10,7,30,12,0,0
Sea Devil Brute,4,21,9,13,11,13,11,9,60,14,0,0
Sea Devil Baron,6,24,13,16,14,16,14,13,95,17,0,0
Scorpion Swarm,4,21,8,13,10,10,13,8,55,0,21,0
Satyr,4,19,9,12,11,9,11,12,80,14,21,0
Salamander,7,26,13,16,15,15,16,13,125,18,25,0
Rust Monster,3,19,6,10,8,8,10,6,40,10,0,0
Rune Giant,16,38,26,33,28,33,26,28,330,33,37,0
Roper,10,29,15,21,20,20,15,21,215,23,0,0
Roc,9,27,16,20,17,20,17,16,180,21,0,0
River Drake,3,19,7,11,9,11,9,7,45,12,19,0
Riding Pony,0,14,4,7,4,7,4,4,16,5,0,0
Riding Horse,1,16,5,9,6,9,6,5,22,7,0,0
Riding Dog,1,16,5,7,5,7,5,5,20,7,17,0
Remorhaz,7,25,10,18,15,18,15,10,120,18,26,0
Reefclaw,1,20,4,9,7,7,9,4,17,9,17,0
Redcap,5,21,10,15,11,11,15,10,60,15,19,0
Ratfolk Grenadier,4,21,9,13,11,11,13,9,60,13,0,0
Rat Swarm,1,14,2,7,4,2,7,4,14,0,17,0
Raja Rakshasa,10,30,18,21,19,19,21,18,155,23,31,0
Quetzalcoatlus,7,25,12,17,16,16,17,12,110,17,0,0
Quelaunt,15,36,26,31,27,27,26,31,305,30,39,0
Quatoid,7,25,13,18,15,13,15,18,120,16,27,0
Quasit,1,17,4,10,7,4,10,7,25,9,17,0
Purple Worm,13,32,21,28,21,28,21,21,270,28,32,0
Pugwampi,0,16,5,8,6,5,8,6,17,8,16,0
Pteranodon,2,18,6,10,7,7,10,6,35,10,0,0
Pracha,4,23,9,13,10,9,13,10,50,13,0,0
Poltergeist,5,22,9,14,13,9,14,13,55,13,23,0
Plague Zombie,1,13,3,6,4,6,3,4,50,9,18,0
Pixie,4,23,8,14,12,8,14,12,40,13,21,0
Pit Fiend (Tyrant Devil),20,46,32,37,35,37,32,35,335,40,43,0
Pieroma,20,45,31,37,32,32,31,37,335,37,47,0
Phoenix,15,36,27,31,28,27,31,28,300,30,39,0
Phistophulus (Contract Devil),10,30,18,23,18,18,18,23,150,21,31,0
Pegasus,3,19,7,11,9,9,11,7,55,10,19,0
Owlbear,4,21,7,13,11,13,7,11,70,14,22,0
Otyugh,4,20,8,12,10,12,8,10,70,14,20,0
Orc Warrior,1,18,4,8,7,8,7,4,23,7,0,0
Orc Warchief,2,19,6,7,7,7,6,7,32,10,0,0
Orc Brute,0,15,2,6,4,6,4,2,15,7,0,0
Ogre Warrior,3,17,5,11,6,11,6,5,50,12,0,0
Ogre Glutton,4,18,6,14,7,14,7,6,70,14,0,0
Ogre Boss,7,25,12,17,15,17,12,15,130,19,0,0
Ofalth,10,31,17,22,18,22,17,18,170,23,26,0
Ochre Jelly,5,12,4,15,7,15,4,7,150,15,23,0
Nosoi,1,16,4,8,6,4,8,6,18,6,18,0
Nilith,10,32,17,20,20,17,20,20,150,23,31,0
Nightmare,6,24,12,15,15,15,15,12,100,16,24,0
Night Hag,9,28,17,19,18,19,17,18,170,20,28,0
Nessian Warhound,9,28,16,21,19,21,19,16,150,21,28,0
Naunet,7,24,12,18,14,18,14,12,120,18,26,0
Naiad Queen,7,26,15,18,17,15,18,17,100,17,28,0
Naiad,1,16,3,8,6,3,6,8,20,8,17,0
Mummy Pharaoh,9,27,15,20,19,19,15,20,165,21,28,0
Mummy Guardian,6,23,10,16,14,14,10,16,110,16,22,0
Mukradi,15,37,23,32,26,32,23,26,300,32,36,0
Mu Spore,21,45,32,38,38,38,32,38,350,40,46,0
Morrigna,15,38,25,29,27,25,27,29,240,31,37,0
Mitflit,-1,15,2,7,4,2,7,4,10,8,0,0
Minotaur,4,20,8,13,10,13,8,10,70,14,0,0
Mimic,4,20,9,11,9,11,9,9,75,14,23,0
Merfolk Wavecaller,2,17,6,10,7,7,6,10,30,9,18,0
Merfolk Warrior,1,18,4,9,6,6,9,4,19,9,0,0
Megaprimatus,8,26,13,19,16,19,16,13,150,21,27,0
Megalodon,9,27,16,21,17,21,16,17,180,22,0,0
Medusa,7,25,14,16,15,15,16,14,105,19,25,0
Marilith (Pride Demon),17,40,27,31,29,31,29,27,380,35,38,0
Marid,9,28,17,21,18,18,21,17,145,21,28,0
Manticore,6,23,12,16,12,16,12,12,90,17,23,0
Mammoth,10,29,15,21,18,21,15,18,190,22,28,0
Lyrakien (Wanderer Azata),1,17,4,7,6,4,7,6,25,9,17,0
Lizardfolk Stargazer,2,17,6,10,7,7,6,10,30,8,20,0
Lizardfolk Scout,1,17,6,8,6,6,8,6,17,8,17,0
Lizardfolk Defender,1,16,5,8,7,8,7,5,21,8,0,0
Living Wildfire,5,22,10,15,11,11,15,10,80,15,19,0
Living Whirlwind,5,24,9,16,10,9,16,10,50,14,0,0
Living Waterfall,5,20,10,14,12,14,12,10,90,15,0,0
Living Landslide,5,21,8,15,10,15,8,10,90,16,0,0
Lion,3,19,7,10,9,9,10,7,45,11,0,0
Lillend (Muse Azata),7,25,14,16,16,14,16,16,145,18,26,0
Lich,12,31,17,23,21,17,21,23,190,24,36,0
Leukodaemon (Pestilence Daemon),9,28,15,21,19,15,21,19,155,21,28,0
Lesser Death,16,39,30,33,32,30,33,32,255,32,38,0
Leopard,2,18,5,10,8,8,10,5,30,10,0,0
Lemure,0,13,3,10,5,10,5,3,20,7,0,0
Legion Archon,7,27,11,17,15,17,11,15,100,18,24,0
Leaf Leshy,0,18,4,6,6,6,6,4,15,6,16,0
Lantern Archon,1,16,4,10,6,6,10,4,20,8,17,0
Lamia Matriarch,8,27,13,18,17,13,18,17,135,19,28,0
Lamia,6,24,12,15,15,12,15,15,95,17,25,0
Krooth,8,26,14,20,17,20,17,14,150,20,26,0
Kraken,18,42,28,35,32,35,28,32,360,37,40,0
Kolyarut,12,34,22,24,23,23,24,22,215,26,32,0
Kobold Warrior,-1,16,3,7,4,4,7,3,8,5,0,0
Kobold Scount,1,18,5,9,6,5,9,6,16,9,0,0
Kobold Dragon Mage,2,17,4,7,7,4,7,7,25,7,20,0
Keketar,17,40,28,34,30,30,28,34,290,33,42,0
Jungle Drake,6,23,11,17,13,17,13,11,90,17,24,0
Jinkin,1,17,6,10,7,6,10,7,19,9,17,0
Janni,4,20,10,12,11,12,10,11,60,14,21,0
Iron Golem,13,34,21,26,22,26,21,22,190,28,37,0
Invisible Stalker,7,26,11,18,14,14,18,11,70,18,0,0
Imp,1,17,5,9,7,5,9,7,15,9,17,0
Ice Linnorm,17,41,27,32,28,32,28,27,330,34,38,0
Hyena,1,16,4,8,7,7,8,4,20,8,0,0
Hydra,6,23,10,15,12,15,12,10,90,16,0,0
Hyaenodon,3,19,7,10,8,10,8,7,45,12,20,0
Hunting Spider,1,17,5,9,6,6,9,5,16,9,16,0
Horned Archon,4,22,10,11,11,11,10,11,65,14,21,0
Homunculus,0,17,2,7,3,2,7,3,17,7,15,0
Hobgoblin Soldier,1,18,5,6,5,5,6,5,20,8,0,0
Hobgoblin General,6,25,12,15,13,12,15,13,90,17,0,0
Hobgoblin Archer,4,23,8,12,10,10,12,8,50,14,0,0
Hive Mother,8,29,14,18,15,18,15,14,120,20,26,0
Hill Giant,7,24,12,17,13,17,12,13,140,19,0,0
Hell Hound,3,19,7,10,9,9,10,7,40,13,19,0
Harpy,5,22,9,15,12,9,15,12,68,15,21,0
Guthallath,19,43,30,38,32,38,32,30,325,38,41,0
Gug,10,30,17,22,19,22,17,19,175,23,0,0
Guardian Naga,10,31,20,22,21,20,21,22,175,22,29,0
Guard Dog,-1,15,4,7,5,5,7,4,8,6,0,0
Grothlut,3,19,5,11,7,11,5,7,50,11,0,0
Grizzly Bear,3,19,6,12,8,12,6,8,45,11,0,0
Grim Reaper,21,47,37,41,38,37,41,38,320,40,47,0
Grikkitog,14,36,23,28,24,28,23,24,200,29,0,0
Grig,1,17,6,9,9,6,9,9,20,9,18,0
Griffon,4,21,7,13,13,13,13,7,60,14,0,0
Green Hag,4,21,11,12,11,11,11,12,70,14,20,0
Greater Shadow,7,24,11,18,15,11,18,15,75,18,25,0
Greater Nightmare,11,31,21,25,24,25,24,21,200,24,30,0
Greater Barghest,7,25,12,17,15,17,15,12,105,17,25,0
Great White Shark,4,21,9,12,10,12,10,9,60,14,0,0
Great Cyclops,12,32,19,25,22,25,19,22,235,25,0,0
Graveknight,10,31,18,21,19,21,19,18,175,24,29,0
Gourd Leshy,1,17,5,9,7,5,9,7,20,9,17,0
Gorilla,3,19,6,12,9,12,9,6,45,11,20,0
Goliath Spider,11,30,17,25,21,25,21,17,220,24,30,0
Gogiteth,12,31,20,25,22,25,22,20,250,26,32,0
Goblin Warrior,-1,16,3,7,5,5,7,3,6,8,0,0
Goblin War Chanter,1,17,5,8,7,7,8,5,16,8,17,0
Goblin Pyro,1,17,4,9,5,5,9,4,15,7,16,0
Goblin Dog,1,17,5,8,8,8,8,5,17,9,17,0
Goblin Commando,1,17,5,8,7,7,8,5,18,8,0,0
Gnoll Sergeant,4,21,8,12,10,12,10,8,60,14,0,0
Gnoll Hunter,2,18,7,8,7,8,7,7,29,10,0,0
Gnoll Cultist,3,19,6,10,8,8,6,10,45,10,22,0
Glabrezu (Treachery Demon),13,34,19,26,24,26,19,24,280,27,34,0
Gimmerling,12,34,19,25,22,22,25,19,235,26,32,0
Gibbering Mouther,5,21,10,15,12,15,12,10,120,14,22,0
Giant Wasp,3,19,6,11,9,9,11,6,45,12,21,0
Giant Viper,2,19,6,11,8,8,11,6,26,11,17,0
Giant Tarantula,6,21,10,15,13,15,13,10,135,17,23,0
Giant Stag Beetle,4,22,8,13,9,13,9,8,55,13,0,0
Giant Scorpion,3,19,7,12,9,12,9,7,45,11,20,1d8+6
Giant Rat,-1,15,3,7,6,6,7,3,8,7,14,0
Giant Octopus,8,27,15,17,16,16,17,15,135,20,26,0
Giant Moray Eel,5,21,9,14,13,14,13,9,65,15,0,0
Giant Monitor Lizard,2,18,5,9,8,9,8,5,30,11,17,0
Giant Mantis,3,20,7,12,10,10,12,7,40,12,0,0
Giant Gecko,1,16,5,10,6,6,10,5,20,8,0,0
Giant Frilled Lizard,5,22,9,13,12,13,12,9,75,16,21,0
Giant Flytrap,10,29,15,21,17,21,17,15,185,23,0,0
Giant Eagle,3,19,6,11,9,6,11,9,45,12,0,0
Giant Centipede,-1,15,2,7,6,7,6,2,8,6,14,0
Giant Bat,2,18,7,9,8,9,8,7,30,10,0,0
Giant Animated Statue,7,26,9,19,17,17,19,9,100,19,0,0
Giant Anaconda,8,25,15,20,17,20,17,15,175,21,26,0
Ghoul,1,16,4,9,5,4,9,5,20,9,15,0
Ghost Mage,10,27,16,22,19,16,19,22,135,21,29,0
Ghost Commoner,4,20,8,11,8,8,11,8,30,13,21,0
Ghast,2,18,6,10,8,6,10,8,30,11,16,0
Ghaele (Crusader Azata),13,34,20,26,23,26,20,23,235,28,33,0
Gelugon (Ice Devil),13,34,24,26,24,24,24,26,215,28,33,0
Gelatinous Cube,3,10,0,12,5,12,0,5,90,11,20,0
Gargoyle,4,21,10,13,10,13,10,10,40,13,0,0
Gancanagh (Passion Azata),4,21,9,13,11,9,13,11,75,13,23,0
Fungus Leshy,2,19,6,10,8,8,10,6,30,10,16,0
Frost Giant,9,29,16,23,16,23,16,16,150,21,28,0
Frost Drake,7,25,14,17,15,17,15,14,115,17,25,0
Flesh Golem,8,26,14,18,15,18,14,15,140,20,0,0
Flash Beetle,-1,16,4,8,5,5,8,4,6,8,17,0
Flame Drake,5,22,10,12,10,12,10,10,75,14,22,0
Firewyrm,9,28,15,20,18,18,20,15,165,20,28,0
Fire Mephit,1,17,3,9,7,3,9,7,16,9,15,0
Fire Giant,10,31,16,23,18,23,16,18,175,24,0,0
Faerie Dragon,2,18,5,12,11,5,12,11,30,10,18,0
Faceless Stalker (Ugothol),4,21,9,12,9,9,9,12,60,14,19,0
Ettin,6,21,11,16,12,16,11,12,110,16,0,0
Ether Spider,5,21,10,15,12,12,15,10,75,15,22,0
Erinys (Fury Devil),8,27,16,19,17,17,19,16,120,20,26,0
Elephant,7,23,11,18,13,18,11,13,130,16,24,0
Elemental Tsunami,11,31,19,22,21,21,22,19,195,24,31,0
Elemental Inferno,11,31,19,23,21,21,23,19,210,24,30,0
Elemental Hurricane,11,32,18,24,19,19,24,18,140,24,29,0
Elemental Avalanche,11,32,17,26,21,26,17,21,215,24,30,0
Electric Eel,1,16,4,7,7,7,7,4,18,6,17,0
Elananx,6,24,12,16,12,12,16,12,95,16,0,0
Efreeti,9,28,17,20,18,18,17,20,175,21,29,0
Earth Mephit,1,15,3,8,4,8,4,3,20,8,17,0
Eagle,-1,16,2,6,4,4,6,2,6,6,0,0
Duskwalker Ghost Hunter,4,21,9,12,10,9,12,10,56,14,0,0
Dullahan,7,28,13,17,15,13,15,17,95,18,23,0
Duergar Taskmaster,2,18,4,8,8,8,4,8,30,8,18,0
Duergar Sharpshooter,0,17,4,7,7,7,7,4,16,7,16,0
Duergar Bombardier,1,18,4,8,7,7,8,4,20,8,17,0
Dryad Queen,13,35,24,26,24,24,26,24,220,27,35,0
Dryad,3,19,6,11,10,6,11,10,55,12,21,0
Drow Rogue,2,19,6,10,6,6,10,6,26,10,16,0
Drow Priestess,3,20,7,11,8,8,7,11,39,9,21,0
Drow Fighter,1,18,4,9,7,7,9,4,18,9,14,0
Drider,6,24,13,15,13,13,13,15,95,16,23,0
Drakauthix,9,25,13,21,15,21,13,15,190,20,27,0
Dragon Turtle,9,29,15,19,16,19,15,16,140,21,27,0
Doppelganger,3,18,5,11,10,5,10,11,50,10,21,0
Djinni,5,22,9,14,11,9,14,11,71,16,23,0
Dire Wolf,3,18,8,11,8,11,8,8,50,12,20,0
Dhampir Wizard,2,17,4,7,6,4,7,6,22,7,18,0
Dezullon,10,30,16,21,17,17,21,16,130,23,29,0
Desert Drake,8,27,13,17,15,17,15,13,135,20,27,0
Dero Strangler,3,19,6,10,8,10,8,6,45,11,19,0
Dero Stalker,2,19,3,10,7,7,10,3,30,10,17,0
Dero Magister,5,22,10,13,10,10,13,10,65,13,24,0
Demilich,15,38,23,27,23,23,27,23,220,27,40,0
Deinosuchus,9,26,15,20,16,20,16,15,175,22,0,0
Deinonychus,2,19,,,,10,9,5,30,9,0,0
Deep Gnome Warrior,2,18,5,9,8,9,8,5,34,10,15,0
Deep Gnome Scout,1,17,5,9,7,7,9,5,18,9,14,0
Deep Gnome Rockwarden,5,22,9,14,12,12,9,14,63,11,24,0
Deadly Mantis,11,31,18,24,20,24,20,18,220,25,31,0
Dark Naga,7,27,15,17,15,15,17,15,115,19,26,0
Dandasuka,5,23,10,13,12,12,13,10,60,15,22,0
Daeodon,4,21,9,13,10,13,9,10,60,14,19,0
Cyclops,5,21,8,13,12,13,8,12,80,14,0,0
Crocodile,2,18,5,9,7,9,7,5,30,10,0,0
Crimson Worm,18,40,25,36,27,36,25,27,410,36,41,0
Crag Linnorm,14,37,22,28,24,28,24,22,270,30,34,0
Cockatrice,3,19,6,11,8,8,11,6,45,13,20,0
Cloud Giant,11,30,18,25,21,25,18,21,220,25,30,0
Cloaker,5,22,12,13,12,13,12,12,80,14,22,0
Clay Golem,10,29,16,23,17,23,16,17,175,24,29,0
Cinder Rat,3,18,6,12,9,9,12,6,45,10,22,0
Chuul,7,28,12,18,15,18,15,12,100,19,25,0
Choral (Choir Angel),6,24,10,16,14,10,14,16,100,14,23,0
Chimera,8,27,14,18,16,18,16,14,135,20,26,0
Changeling Exile,3,19,7,11,8,7,8,11,45,11,21,0
Ceustodaemon (Guardian Daemon),6,23,12,16,12,16,12,12,130,16,24,0
Centipede Swarm,3,18,5,11,8,8,11,5,30,0,20,0
Centaur,3,20,8,9,9,8,9,9,40,11,18,0
Cave Bear,6,24,11,16,13,16,11,13,95,16,0,0
Cauthooj,12,33,18,25,20,25,20,18,215,26,32,0
Catfolk Pouncer,1,17,4,9,6,6,9,4,19,9,0,0
Cassisian (Archive Angel),1,18,4,7,6,7,6,4,20,6,18,0
Caligni Stalker,4,21,8,13,10,10,13,8,60,13,21,0
Caligni Dancer,1,17,4,9,7,7,9,4,18,9,16,0
Caligni Creeper,2,19,6,10,9,9,10,6,30,10,17,0
Cacodaemon (Harvester Daemon),1,16,6,8,7,7,8,6,22,8,17,0
Bunyip,3,19,6,12,9,9,12,6,45,11,21,0
Bulette,8,30,14,20,16,20,16,14,120,21,0,0
Bugbear Tormentor,3,20,6,10,9,9,10,6,44,11,0,0
Bugbear Thug,2,17,5,9,8,9,8,5,34,10,0,0
Brontosaurus,10,28,,,,21,14,16,220,23,29,0
Brine Shark,3,19,6,11,9,9,11,6,45,11,0,0
Brain Collector,8,26,13,18,15,15,13,18,140,20,26,0
Boggard Warrior,2,17,5,10,8,10,5,8,38,10,0,0
Boggard Swampseer,3,18,7,11,9,9,7,11,40,10,21,0
Boggard Scout,1,16,5,9,7,9,5,7,24,8,17,0
Boar,2,18,5,10,8,10,5,8,30,10,0,0
Bloodseeker,-1,16,4,8,5,5,8,4,6,8,0,0
Black Pudding,7,14,6,18,11,18,6,11,165,18,26,0
Basilisk,5,22,8,14,11,14,8,11,75,15,20,0
Barghest,4,21,8,12,11,11,12,8,50,13,21,0
Barbazu (Bearded Devil),5,22,11,15,11,15,11,11,60,15,23,0
Baomal,20,48,30,36,34,36,30,34,315,38,42,0
Banshee,17,39,25,32,29,25,29,32,250,32,38,0
Balor (Fire Demon),20,45,34,39,35,39,35,34,480,40,44,0
Ball Python,1,16,4,10,8,8,10,4,20,8,17,0
Balisse (Confessor Angel),8,26,12,18,16,16,12,18,145,20,26,0
Azure Worm,15,35,20,32,23,32,20,23,320,31,37,0
Axiomite,8,26,13,18,16,13,16,18,155,20,27,0
Awakened Tree,6,22,9,16,13,16,9,13,100,16,0,0
Astral Deva (Emissary Angel),14,36,22,27,26,27,26,22,285,30,36,0
Astradaemon (Void Daemon),16,39,26,30,27,27,30,26,240,32,37,0
Arboreal Warden,4,20,9,13,11,13,9,11,75,13,0,0
Arboreal Regent,8,26,11,20,16,20,11,16,150,19,26,0
Arbiter,1,16,5,7,7,5,7,7,22,9,17,0
Annis Hag,6,24,12,16,14,16,12,14,85,16,24,0
Ankylosaurus,6,26,,,,16,10,12,90,17,24,0
Ankhrav,3,20,7,12,8,12,8,7,40,13,20,0
Animated Statue,3,19,5,12,5,12,5,5,35,11,0,0
Animated Broom,-1,16,3,6,3,3,6,3,6,6,0,0
Animated Armor,2,17,3,10,4,10,3,4,20,11,0,0
Ancient White Dragon,15,36,24,30,26,30,26,24,330,31,36,0
Ancient Silver Dragon,19,45,31,34,34,34,31,34,410,37,42,0
Ancient Red Dragon,19,45,32,35,35,35,32,35,425,37,42,0
Ancient Green Dragon,17,41,29,32,30,30,29,32,315,33,39,0
Ancient Gold Dragon,20,46,34,39,37,37,34,39,450,38,44,0
Ancient Copper Dragon,17,41,30,32,32,30,32,32,345,33,39,0
Ancient Bronze Dragon,18,43,30,34,32,32,30,34,360,35,40,0
Ancient Brass Dragon,16,39,29,30,30,30,29,30,325,32,39,0
Ancient Blue Dragon,18,42,30,33,32,32,30,33,370,35,40,0
Ancient Black Dragon,16,39,27,30,29,30,27,29,325,33,39,0
Algollthu Master (Aboleth),7,23,10,16,15,15,10,16,135,16,25,0
Alchemical Golem,9,27,15,20,19,20,19,15,150,22,0,0
Air Mephit,1,16,3,9,7,3,9,7,12,9,17,0
Adult White Dragon,10,29,17,22,19,22,19,17,215,23,29,0
Adult Silver Dragon,14,37,23,28,26,26,23,28,295,29,35,0
Adult Red Dragon,14,37,25,28,26,28,25,26,305,29,36,0
Adult Green Dragon,12,34,20,23,22,20,22,23,215,26,32,0
Adult Gold Dragon,15,38,25,28,28,28,25,28,330,30,37,0
Adult Copper Dragon,12,33,22,23,22,23,22,22,235,26,33,0
Adult Bronze Dragon,13,34,23,26,24,24,23,26,260,28,33,0
Adult Brass Dragon,11,31,20,22,21,22,20,21,215,24,32,0
Adult Blue Dragon,13,34,23,24,23,24,23,23,260,27,33,0
Adult Black Dragon,11,31,18,23,21,23,18,21,215,25,30,0
Adamantine Golem,18,42,27,33,29,33,27,29,255,28,45,0
Aasimar Redeemer,5,23,8,12,11,12,8,11,73,15,20,0
